Peso (t),0,2.5,5,6,8,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,,,,,,,,,,,,,
50,4,4,4,5,6,7,9,9,10,11,11,12,13,14,14,15,16,16,17,18,18,19,20,20,21,,,,,,,,,,,,,,,,,,,,
100,8,8,8,9,11,14,17,18,20,21,22,24,25,27,28,29,31,32,33,35,36,38,39,40,42,,,,,,,,,,,,,,,,,,,,
200,10,10,15,17,22,28,33,36,39,42,44,47,50,53,55,58,61,64,66,69,72,75,77,80,83,,,,,,,,,,,,,,,,,,,,
300,15,15,23,26,33,42,50,54,58,62,66,71,75,79,83,87,91,95,99,104,108,112,116,120,124,,,,,,,,,,,,,,,,,,,,
400,20,20,30,34,44,55,66,72,77,83,88,94,99,105,110,116,121,127,132,138,143,149,154,160,165,,,,,,,,,,,,,,,,,,,,
500,25,25,38,42,55,69,83,90,97,104,110,117,124,131,138,145,152,158,165,172,179,186,193,200,207,,,,,,,,,,,,,,,,,,,,
600,30,30,45,51,66,83,99,108,116,124,132,141,149,157,165,174,182,190,198,207,215,223,231,239,248,,,,,,,,,,,,,,,,,,,,
800,40,40,60,68,88,110,132,143,154,165,176,187,198,209,220,231,242,253,264,275,286,297,308,319,330,,,,,,,,,,,,,,,,,,,,
1000,50,50,75,84,110,138,165,179,193,207,220,234,248,261,275,289,303,316,330,344,358,371,385,399,413,,,,,,,,,,,,,,,,,,,,
1200,60,60,89,101,132,165,198,215,231,248,264,281,297,314,330,347,363,380,396,413,429,445,462,478,495,,,,,,,,,,,,,,,,,,,,
1300,65,65,97,110,143,179,215,233,250,268,286,304,322,340,358,375,393,411,429,447,465,483,500,518,536,,,,,,,,,,,,,,,,,,,,
1600,80,80,119,135,176,220,264,286,308,330,352,374,396,418,440,462,484,506,528,550,572,594,616,638,660,,,,,,,,,,,,,,,,,,,,
